date,fund_code,fund_name,fund_type,unit_nav,daily_return_pct,value,weight_pct
2026-06-29,000700,宏利货币B,货币型,1.0,,203100.14,16.03
2026-06-29,005150,红土创新优淳货币A,货币型,1.0,,50660.52,4.0
2026-06-29,007466,华泰柏瑞中证红利低波动ETF联接A,股票型,1.5068,-0.44,8801.13,0.69
2026-06-29,008774,招商鑫福中短债债券A,债券型,1.195,0.01,208670.46,16.46
2026-06-29,012805,广发恒生科技ETF联接(QDII)C,股票型QDII,0.6859,-3.41,28845.59,2.28
2026-06-29,012943,广发稳睿六个月持有期混合A,混合型,1.2067,-0.20,148569.31,11.72
2026-06-29,017704,兴业中证同业存单AAA指数7天持有期,货币型,1.0604,0.00,303365.07,23.94
2026-06-29,020602,易方达红利低波ETF联接A,股票型,0.9934,-0.48,79020.72,6.23
2026-06-29,021457,易方达港股通红利低波联接A,股票型,1.0978,-0.92,83729.89,6.61
2026-06-29,110007,易方达稳健收益债券A,债券型,1.3887,-0.44,50007.09,3.95
2026-06-29,519669,银河领先债券A,债券型,1.3091,0.02,102622.14,8.1
